,year,회사명,거래소코드,회계년도,시가총액(백만원),유동자산(백만원),부채(백만원),당기순이익(백만원)
5464,2008,(주)한화,000880,2007/12,1442955.64875,9242096.0,58090168.0,525749.0
5465,2008,(주)현대백화점,069960,2007/12,1439542.7748,937157.0,1554124.0,312734.0
5466,2008,고려아연(주),010130,2007/12,1379397.0,1602875.0,1225899.0,429538.0
5467,2008,(주)HJ중공업,097230,2007/12,1353847.4664,2410903.0,3945379.0,28408.0
5468,2008,(주)효성,004800,2007/12,1341486.781,2010773.0,5022289.0,198191.0
5472,2008,롯데칠성음료(주),005300,2007/12,1184003.271,551493.0,451781.0,63392.0
5473,2008,태광산업(주),003240,2007/12,1143461.8,1187973.0,1804575.0,39568.0
5475,2008,씨제이(주),001040,2007/12,1101723.44,2821181.0,5733177.0,107055.0
5476,2008,(주)오리온홀딩스,001800,2007/12,1086702.6375,889077.0,1070872.0,152089.0
5477,2008,(주)엔씨소프트,036570,2007/12,1076955.9648,365476.0,96811.0,45943.0
5480,2008,(주)영풍,000670,2007/12,972597.12,528482.0,806181.0,151643.0
5481,2008,동아쏘시오홀딩스(주),000640,2007/12,968908.5,299512.0,385028.0,34804.0
5482,2008,한미사이언스(주),008930,2007/12,943729.745,320634.0,339386.0,55822.0
5484,2008,(주)제일기획,030000,2007/12,897321.555,1034308.0,744127.0,59819.0
5485,2008,STX조선해양(주),067250,2007/12,896400.0,2732464.0,4338355.0,423882.0
5487,2008,대한전선(주),001440,2007/12,868361.6814,1987128.0,3208794.0,120271.0
5490,2008,한화솔루션(주),009830,2007/12,841701.066,1625503.0,3703815.0,221297.0
5492,2008,(주)아모레퍼시픽그룹,002790,2007/12,837805.29,908445.0,572668.0,175601.0
5493,2008,한온시스템(주),018880,2007/12,774010.0,590044.0,574956.0,108363.0
5494,2008,대한해운(주),005880,2007/12,760592.778,690824.0,1191863.0,380827.0
5499,2008,(주)STX,011810,2007/12,655038.9272,3862593.0,5828593.0,463902.0
5500,2008,(주)삼천리,004690,2007/12,636638.925,466520.0,407148.0,56977.0
5502,2008,금호건설(주),002990,2007/12,627230.6628,2358306.0,13222750.0,177818.0
5503,2008,아시아나항공(주),020560,2007/12,606090.77078,719673.0,3279588.0,101372.0
5504,2008,(주)에스비에스,034120,2007/12,604160.4642,471727.0,177240.0,59204.0
5505,2008,현대하이스코(주),010520,2007/12,597490.0,1109982.0,1983102.0,22166.0
5507,2008,(주)현대오토넷,042100,2007/12,582959.64147,462859.0,300456.0,32997.0
5509,2008,에스케이씨(주),011790,2007/12,572197.9954,485330.0,1198214.0,79351.0
5510,2008,(주)엘엑스인터내셔널,001120,2007/12,565896.0,1645074.0,1787101.0,44412.0
5511,2008,에스케이디스커버리(주),006120,2007/12,561720.11665,2291970.0,3073191.0,96248.0
5512,2008,(주)신도리코,029530,2007/12,549361.5805,587259.0,120795.0,75947.0
5515,2008,쌍용씨앤이(주),003410,2007/12,498731.71248,376899.0,1557900.0,7681.0
5516,2008,(주)오뚜기,007310,2007/12,495360.0,212070.0,222982.0,45642.0
5517,2008,한일홀딩스(주),003300,2007/12,494218.0015,387420.0,227290.0,59757.0
5518,2008,(주)이원,017940,2007/12,479514.0,984107.0,1311992.0,65811.0
5520,2008,금호석유화학(주),011780,2007/12,465267.3801,2242337.0,6090517.0,129683.0
5522,2008,현대엘리베이터(주),017800,2007/12,463613.345,310802.0,449760.0,149994.0
5523,2008,STX엔진(주),077970,2007/12,457395.48635,721784.0,911591.0,88293.0
5525,2008,한솔홀딩스(주),004150,2007/12,449332.041,700831.0,1819964.0,-3257.0
5527,2008,(주)케이피케미칼,064420,2007/12,441536.64118,491286.0,379830.0,36930.0
5531,2008,두산건설(주),011160,2007/12,424087.54955,1268459.0,1428757.0,73231.0
5532,2008,(주)코오롱,002020,2007/12,419399.794,970377.0,2053036.0,22244.0
5533,2008,(주)대교,019680,2007/12,415890.9935,239349.0,258082.0,46309.0
5536,2008,(주)웅진,016880,2007/12,392041.9152,1093425.0,1715449.0,34100.0
5537,2008,(주)엘에스네트웍스,000680,2007/12,377638.58487,340260.0,62583.0,19341.0
5538,2008,(주)웅진씽크빅,095720,2007/12,367806.0762,142122.0,217177.0,20888.0
5539,2008,(주)한진중공업홀딩스,003480,2007/12,349928.2722,3059044.0,4711771.0,84328.0
5544,2008,(주)대성합동지주,005620,2007/12,333587.15,423063.0,744968.0,50060.0
5545,2008,고려제강(주),002240,2007/12,331000.0,330229.0,326802.0,41813.0
5546,2008,(주)태영건설,009410,2007/12,324700.0,768681.0,1195696.0,43492.0
5547,2008,현대코퍼레이션(주),011760,2007/12,323782.129,541874.0,736876.0,44448.0
5548,2008,(주)영원무역홀딩스,009970,2007/12,318839.6,402742.0,259211.0,69200.0
5549,2008,금호타이어(주),073240,2007/12,314300.0,1407229.0,3134212.0,-37719.0
5550,2008,씨제이씨지브이(주),079160,2007/12,313351.7696,55909.0,291761.0,11218.0
5551,2008,(주)현대지에프홀딩스,005440,2007/12,311818.705,298181.0,293989.0,35518.0
5552,2008,(주)삼양홀딩스,000070,2007/12,309558.6411,299094.0,379934.0,8228.0
5553,2008,서울도시가스(주),017390,2007/12,308000.0,442209.0,443775.0,39847.0
5554,2008,(주)시알홀딩스,000480,2007/12,308000.0,194244.0,433336.0,22995.0
5555,2008,동원산업(주),006040,2007/12,306051.2,172307.0,245408.0,43493.0
5558,2008,SNT다이내믹스(주),003570,2007/12,282994.326,556283.0,506052.0,58145.0
5559,2008,도레이케미칼(주),008000,2007/12,282693.68018,236640.0,383777.0,-58686.0
5562,2008,(주)농심홀딩스,072710,2007/12,268989.964,721353.0,744286.0,118205.0
5563,2008,(주)녹십자홀딩스,005250,2007/12,268667.1302,716152.0,2080546.0,41043.0
5565,2008,(주)퍼시스,016800,2007/12,255000.0,164282.0,56467.0,32795.0
5568,2008,(주)세아홀딩스,058650,2007/12,232560.0,874337.0,1140693.0,94799.0
5569,2008,(주)세아제강지주,003030,2007/12,232290.0,577335.0,501178.0,20843.0
5570,2008,코원에너지서비스(주),026870,2007/12,229890.0,401555.0,327211.0,29673.0
5571,2008,(주)후성,093370,2007/12,226891.58778,67732.0,121552.0,6853.0
5572,2008,(주)온미디어,045710,2007/12,223205.2011,212963.0,86075.0,42757.0
5575,2008,세원이앤씨(주),091090,2007/12,211899.82905,93986.0,77527.0,13243.0
5576,2008,(주)풀무원,017810,2007/12,209422.752,108611.0,201397.0,26676.0
5577,2008,(주)종근당홀딩스,001630,2007/12,208147.5,228786.0,231430.0,17641.0
5578,2008,(주)동양,001520,2007/12,206522.051675,9234974.0,20565396.0,80757.0
