Date,Adj Close,event,귀속년도,rtn
1996-12-12,689.3800048828125,before,1996,-2.1711965646806997
1996-12-13,689.0700073242188,before,1996,-0.04496758774522602
1996-12-16,673.9199829101562,before,1996,-2.1986190449491128
1996-12-17,663.3499755859375,before,1996,-1.5684365491841934
1996-12-18,661.3900146484375,before,1996,-0.2954640852694368
1996-12-19,690.969970703125,before,1996,4.472392294947292
1996-12-20,700.8699951171875,santa,1996,1.4327720210457695
1996-12-23,684.8099975585938,santa,1996,-2.2914374520924485
1996-12-24,677.760009765625,santa,1996,-1.0294808513459985
1996-12-26,659.010009765625,santa,1996,-2.76646596580461
1996-12-27,651.219970703125,santa,1996,-1.1820820544547583
1997-01-03,653.7899780273438,santa,1996,0.39464504158923663
1997-01-06,626.8699951171875,santa,1996,-4.117527618178074
1997-01-07,611.0499877929688,after,1996,-2.5236504295059414
1997-01-08,621.4099731445312,after,1996,1.6954399081131388
1997-01-09,639.8699951171875,after,1996,2.970667155411544
1997-01-10,648.6900024414062,after,1996,1.3784061436735273
1997-01-13,659.5399780273438,after,1996,1.672597935084963
1997-01-14,686.5900268554688,after,1996,4.101350900521683
1997-01-15,699.760009765625,after,1996,1.9181727661372827
1997-01-16,711.8599853515625,else,1997,1.7291607718466606
1997-01-17,701.1799926757812,else,1997,-1.5002940038140733
1997-01-20,718.4600219726562,else,1997,2.464421329383981
1997-01-21,690.5399780273438,else,1997,-3.886095689590796
1997-01-22,678.9400024414062,else,1997,-1.6798412771227178
1997-01-23,676.9099731445312,else,1997,-0.29899980698959716
1997-01-24,679.5599975585938,else,1997,0.3914884577268074
1997-01-27,664.7000122070312,else,1997,-2.186706899309687
1997-01-28,662.8499755859375,else,1997,-0.27832655139437
1997-01-29,663.5599975585938,else,1997,0.1071165420242437
1997-01-30,676.52001953125,else,1997,1.953104771285119
1997-01-31,685.8400268554688,else,1997,1.3776395457855584
1997-02-03,687.25,else,1997,0.20558338523866126
1997-02-04,695.9500122070312,else,1997,1.2659166543515843
1997-02-05,698.5999755859375,else,1997,0.3807692122172135
1997-02-06,700.219970703125,else,1997,0.23189166530226402
1997-02-10,709.7899780273438,else,1997,1.3667144218421967
1997-02-11,713.4299926757812,else,1997,0.5128298174276624
1997-02-12,712.5,else,1997,-0.13035514140542492
1997-02-13,716.7100219726562,else,1997,0.5908802768640253
1997-02-14,721.0,else,1997,0.5985653745340658
1997-02-17,712.9299926757812,else,1997,-1.119279795314665
1997-02-18,706.9400024414062,else,1997,-0.840193328365002
1997-02-19,713.6699829101562,else,1997,0.9519875018400681
1997-02-20,711.1300048828125,else,1997,-0.35590372135120285
1997-02-21,686.719970703125,else,1997,-3.432569855312184
1997-02-24,676.5900268554688,else,1997,-1.4751200314277013
1997-02-25,682.8099975585938,else,1997,0.9193116150459701
1997-02-26,679.7100219726562,else,1997,-0.4540026650197815
1997-02-27,669.4099731445312,else,1997,-1.5153592701534935
1997-02-28,676.530029296875,else,1997,1.0636316215752784
1997-03-03,679.6400146484375,else,1997,0.459696571753776
1997-03-04,679.969970703125,else,1997,0.048548650399604654
1997-03-05,674.9000244140625,else,1997,-0.7456132634533708
1997-03-06,678.1099853515625,else,1997,0.475620213569683
1997-03-07,681.219970703125,else,1997,0.45862550600108687
1997-03-10,667.3499755859375,else,1997,-2.0360523345890003
1997-03-11,655.9500122070312,else,1997,-1.7082436196835138
1997-03-12,663.9000244140625,else,1997,1.2119844590416928
1997-03-13,657.9000244140625,else,1997,-0.9037505316098482
1997-03-14,642.0800170898438,else,1997,-2.404621787072947
1997-03-17,658.9000244140625,else,1997,2.6196123343712685
1997-03-18,657.969970703125,else,1997,-0.14115247783828
1997-03-19,646.2899780273438,else,1997,-1.775155887935076
1997-03-20,642.8599853515625,else,1997,-0.5307203875032251
1997-03-21,627.6300048828125,else,1997,-2.369097597577352
1997-03-24,617.260009765625,else,1997,-1.6522465523495344
1997-03-25,638.9000244140625,else,1997,3.505818343335454
1997-03-26,656.6199951171875,else,1997,2.773512290812019
1997-03-27,651.6500244140625,else,1997,-0.7569021260520725
1997-03-28,652.8699951171875,else,1997,0.18721256156200017
1997-03-31,677.3400268554688,else,1997,3.7480711200227557
1997-04-01,672.989990234375,else,1997,-0.6422234695458107
1997-04-02,678.8599853515625,else,1997,0.8722262147083715
1997-04-03,678.739990234375,else,1997,-0.017675974394826266
1997-04-04,687.4199829101562,else,1997,1.278839143216537
1997-04-07,694.9000244140625,else,1997,1.0881326830564086
1997-04-08,694.969970703125,else,1997,0.010065662196723224
1997-04-09,698.6599731445312,else,1997,0.5309585445357978
1997-04-10,688.0399780273438,else,1997,-1.5200520318043975
1997-04-11,693.9400024414062,else,1997,0.8575118601361398
1997-04-14,704.2000122070312,else,1997,1.4785153946347496
1997-04-15,701.3900146484375,else,1997,-0.39903401162788565
1997-04-16,702.4199829101562,else,1997,0.14684672439126967
1997-04-17,694.760009765625,else,1997,-1.090511849164033
1997-04-18,695.6699829101562,else,1997,0.13097661519669845
1997-04-21,697.3400268554688,else,1997,0.24006267143024118
1997-04-22,687.9600219726562,else,1997,-1.34511207181236
1997-04-23,693.0499877929688,else,1997,0.739863605114377
1997-04-24,690.7999877929688,else,1997,-0.3246519067354958
1997-04-25,692.47998046875,else,1997,0.2431952381974689
1997-04-28,704.1599731445312,else,1997,1.686690302277749
1997-04-29,704.0499877929688,else,1997,-0.015619369995056864
1997-04-30,703.22998046875,else,1997,-0.11647004309868203
1997-05-02,706.0999755859375,else,1997,0.4081161493249219
1997-05-06,701.5700073242188,else,1997,-0.6415477153868587
1997-05-07,689.0999755859375,else,1997,-1.777446528229143
1997-05-08,684.6900024414062,else,1997,-0.6399612974563595
1997-05-09,687.6199951171875,else,1997,0.427929817192263
1997-05-12,672.0999755859375,else,1997,-2.2570634422294567
1997-05-13,683.8599853515625,else,1997,1.7497411386412587
1997-05-15,699.9500122070312,else,1997,2.3528247302256
1997-05-16,699.530029296875,else,1997,-0.06000184339335357
1997-05-19,721.2000122070312,else,1997,3.0977916604863376
1997-05-20,734.6699829101562,else,1997,1.867716372037198
1997-05-21,737.7100219726562,else,1997,0.4137965526314069
1997-05-22,724.3800048828125,else,1997,-1.8069453705127803
1997-05-23,730.530029296875,else,1997,0.8490052696936923
1997-05-26,718.989990234375,else,1997,-1.579680314251708
1997-05-27,723.3499755859375,else,1997,0.6064041795827091
1997-05-28,738.1199951171875,else,1997,2.0418912047775795
1997-05-29,742.5,else,1997,0.5934001126899568
1997-05-30,746.3599853515625,else,1997,0.5198633470117953
1997-06-02,758.3900146484375,else,1997,1.611826669835259
1997-06-03,766.0599975585938,else,1997,1.0113507248261655
1997-06-04,763.25,else,1997,-0.36681168153266386
1997-06-05,765.6699829101562,else,1997,0.3170629426997973
1997-06-09,775.010009765625,else,1997,1.219850204910644
1997-06-10,769.8300170898438,else,1997,-0.6683775190655661
1997-06-11,765.7899780273438,else,1997,-0.5247962501868098
1997-06-12,774.6599731445312,else,1997,1.1582803864887747
1997-06-13,789.1500244140625,else,1997,1.8705047081124748
1997-06-16,789.0499877929688,else,1997,-0.012676502312480853
1997-06-17,792.2899780273438,else,1997,0.41061913497235647
1997-06-18,773.2100219726562,else,1997,-2.408203635516515
1997-06-19,770.9500122070312,else,1997,-0.29228924889761476
1997-06-20,770.219970703125,else,1997,-0.09469375346610187
1997-06-23,753.0499877929688,else,1997,-2.2292310720639974
