티커,시가총액,year,weight
005387,182450512125,2000,0.05853085019404791
002000,179241934000,2000,0.05750152556578045
014820,178639200000,2000,0.05730816610052069
011170,178097400000,2000,0.05713435450489519
008770,174261657240,2000,0.055903832966459344
005300,171971217000,2000,0.055169050624637186
005680,169000000000,2000,0.05421587238964346
004150,167954209500,2000,0.05388037863642275
005500,167200000000,2000,0.05363842522809697
023590,164400000000,2000,0.052740174087913524
005250,152607210100,2000,0.04895700016876396
005280,151597033390,2000,0.04863293146106958
003410,139780482215,2000,0.044842134830362534
033240,139530600000,2000,0.04476197162159992
006840,138600000000,2000,0.04446343143908038
004990,136454400000,2000,0.043775114422516956
005385,134589503520,2000,0.043176848211986925
000640,130725000000,2000,0.04193710010731445
025860,130584386000,2000,0.041891990576662395
001800,129483577600,2000,0.04153884686222543
010120,246288613400,2001,0.0574345701245818
005830,241428000000,2001,0.05630107378743127
003920,237600000000,2001,0.05540838316969726
002550,235200000000,2001,0.05484870253161951
002615,234875228100,2001,0.05477296563819379
003545,232180000000,2001,0.05414443772870501
004175,230400000000,2001,0.05372934125546401
014900,230184783000,2001,0.05367915259384518
002000,208686846000,2001,0.04866582796988049
003480,208657066105,2001,0.04865888329044903
000640,208562500000,2001,0.04863683044962115
010060,206424465050,2001,0.048138240130850926
016880,199938499740,2001,0.04662571129616303
000880,199157219100,2001,0.04644351644319928
01683C,199000000000,2001,0.04640685290728011
006200,195623712600,2001,0.045619501787961
004130,195292960000,2001,0.04554237019370522
001440,195200000000,2001,0.045520691896990345
000070,193349097600,2001,0.04508906096521883
003090,190110786000,2001,0.04433388583914275
001800,335877740800,2002,0.06316447129029804
042100,327236000000,2002,0.06153932343929821
004550,305976000000,2002,0.05754121193469761
009240,291820707200,2002,0.05487919693024465
004150,290975214900,2002,0.05472019540194356
009410,280388000000,2002,0.05272918572680862
001200,271111913380,2002,0.05098474411659725
001450,269988000000,2002,0.05077338329746496
011200,266959663110,2002,0.050203880543009866
036060,260286300000,2002,0.048948901717776175
004130,260110607700,2002,0.04891586138824185
009840,257999823560,2002,0.04851891170085415
003690,257406163950,2002,0.048407269305907885
002550,256200000000,2002,0.04818044061517743
003300,243661279800,2002,0.045822434900944696
003480,233868412725,2002,0.043980808630221184
003410,232021409565,2002,0.04363346504682374
004980,227622722300,2002,0.04280625704309201
000150,224849328450,2002,0.04228469834796155
010060,223151236100,2002,0.04196535862263656
004000,416670000000,2003,0.0602132162300741
003300,416426763500,2003,0.06017806598654914
011790,410083000000,2003,0.059261325152464725
003690,404571850200,2003,0.058464905792818656
004150,399163900500,2003,0.05768339993771158
005810,396060000000,2003,0.05723485352937132
020000,387108235800,2003,0.05594122904617062
017800,376516284100,2003,0.05441058014413639
003480,371535634400,2003,0.05369082365254268
010120,321000000000,2003,0.046387890680523645
009410,319352000000,2003,0.04614973727291771
014900,318024312960,2003,0.0459578724714552
006200,310915164200,2003,0.044930525382637566
002000,305795310000,2003,0.044190652370395135
002550,301200000000,2003,0.04352658153574368
001450,298596000000,2003,0.04315027603003625
071050,297164272100,2003,0.0429433762253339
017810,292547505600,2003,0.04227620469979027
015940,289686746620,2003,0.04186279480936172
010060,287492403500,2003,0.04154568904996571
003240,465401200000,2004,0.05818388331724659
042100,460288000000,2004,0.057544637367348425
003480,453919543000,2004,0.05674846073738077
064420,453782466310,2004,0.05673132357886791
004000,447630000000,2004,0.05596214983824513
051900,443556794800,2004,0.055452922753991794
004150,436244700000,2004,0.05453877369153161
008060,434775033000,2004,0.05435503773802911
003300,417255808900,2004,0.05216480597488992
005810,407330000000,2004,0.050923893603226744
009720,393980700000,2004,0.04925498060178429
008930,372828258000,2004,0.0466105284233137
067250,368831118600,2004,0.046110810991445525
003410,367751817640,2004,0.04597587811821522
004980,358927031250,2004,0.04487261422114021
003000,355082740000,2004,0.044392005676238494
005880,348000000000,2004,0.04350653026765254
003640,344223000000,2004,0.04303433439173034
001450,336591000000,2004,0.042080191176205275
002550,332400000000,2004,0.04155623753151639
008930,959543293000,2005,0.06122838452648521
011160,944898340900,2005,0.06029389124713845
015940,892914636900,2005,0.05697681504969898
051900,890237229000,2005,0.05680596985529101
000120,888026618600,2005,0.05666491097384516
003470,887926891470,2005,0.056658547393266874
010130,886890000000,2005,0.05659238342745049
000150,828756845000,2005,0.052882911229537095
004000,820440000000,2005,0.05235221398281351
010120,805500000000,2005,0.05139889371941432
002990,771836278000,2005,0.049250814179652797
068870,764199239000,2005,0.04876349530207114
000640,757523400000,2005,0.0483375105233636
004150,730709872500,2005,0.04662654137350005
019680,677622800000,2005,0.04323905931601731
004550,673440000000,2005,0.04297215516623511
025930,670239332700,2005,0.04276792082932151
003240,614596800000,2005,0.039217375050890305
001430,604276705150,2005,0.038558850583640863
079160,601965241600,2005,0.03841135627036619
008930,1084760246000,2006,0.05729058796993489
011160,1082504895400,2006,0.05717147375789698
012990,1062200000000,2006,0.05609908988282084
001450,1041510000000,2006,0.0550063670719796
030000,1035371025000,2006,0.05468214290486099
003410,1026580995000,2006,0.054217905771512566
002990,1015574050000,2006,0.05363658436604254
045710,964028317000,2006,0.05091424515624882
005385,954179316000,2006,0.05039407946960319
004800,936276584900,2006,0.049448563633482996
010120,936000000000,2006,0.04943395606318989
003240,927462200000,2006,0.04898304021909128
001120,918612000000,2006,0.04851562526401602
010060,913249330500,2006,0.0482324009387549
073240,878500000000,2006,0.04639714786486359
004550,860544000000,2006,0.04544881868209582
002550,840000000000,2006,0.044363806723375546
006120,821180166950,2006,0.043369855013856026
011780,818667193400,2006,0.043237134689007035
000640,817153200000,2006,0.04315717455736648
006120,1553304225000,2007,0.05875749986102873
001800,1473173072000,2007,0.05572634464012436
001040,1463381757000,2007,0.05535596440134545
042100,1439435138580,2007,0.0544501254769163
003690,1404837951450,2007,0.05314140295800152
000060,1386560000000,2007,0.05244999511110453
003540,1378497810000,2007,0.05214502321945556
011780,1372920138000,2007,0.0519340342473726
008930,1352654359000,2007,0.05116743200190704
030000,1306868316000,2007,0.04943546387106033
011160,1298044212600,2007,0.04910167075703
005387,1275110023500,2007,0.04823412942728434
004370,1265189536000,2007,0.04785886292538412
003240,1261482200000,2007,0.04771862394901438
002550,1242000000000,2007,0.04698166247980024
005300,1237203000000,2007,0.04680020431964275
001200,1193963587200,2007,0.04516456865298063
002790,1192875151000,2007,0.04512339591370591
003480,1188574933000,2007,0.044960729737646685
003410,1149770714400,2007,0.04349286604919452
000670,998385680000,2008,0.05661657373253242
009830,996012928100,2008,0.056482019435945
008930,991568580000,2008,0.056229988815977884
000640,976085600000,2008,0.05535197814702545
005280,965178417000,2008,0.054733452317875214
005270,964512500000,2008,0.0546956894175397
025860,936446190550,2008,0.05310410180745299
001800,934861995000,2008,0.05301426505802833
001440,932139658000,2008,0.05285988644806539
045820,907120000000,2008,0.05144106871029521
005880,875834108000,2008,0.04966690463053192
030000,860508363000,2008,0.048797810462636315
018880,843404000000,2008,0.0478278542139274
002550,810000000000,2008,0.045933576214105216
003540,794603710000,2008,0.045060481571970075
003470,792183322320,2008,0.0449232259399121
001200,778098440250,2008,0.04412449877444416
006280,772283578900,2008,0.04379474892630258
011810,758886562000,2008,0.04303502930060158
002790,746045663000,2008,0.04230684607483105
004370,1496329932000,2009,0.05866056984492812
003470,1491980163100,2009,0.05849004600729647
015940,1474182572700,2009,0.057792327695042174
030000,1419608716500,2009,0.055652870724447294
018880,1398556000000,2009,0.05482754181785845
000120,1373303108800,2009,0.05383755360981399
006120,1358966664400,2009,0.05327552248280842
000640,1333140000000,2009,0.05226304066412773
114090,1305154637000,2009,0.05116593145994109
010520,1271170000000,2009,0.04983363292753892
002550,1260000000000,2009,0.049395735809293045
004000,1233240000000,2009,0.04834666446781949
002790,1232770641000,2009,0.048328264203403845
008930,1184673360000,2009,0.04644270818322819
006280,1171492010000,2009,0.04592596018147436
001120,1133730000000,2009,0.04444557742783318
097230,1133110793400,2009,0.044421302693210186
003690,1115777910940,2009,0.043741802310029484
005300,1066468986000,2009,0.04180874625496877
005385,1054619244000,2009,0.041344201234936796
001230,2086569787500,2010,0.06136828115402578
005270,2061150000000,2010,0.06062065762591717
001450,2024910000000,2010,0.059554799909417526
067250,1955235160900,2010,0.057505587301784906
097230,1888517989000,2010,0.05554336289525488
002990,1849409940000,2010,0.054393152746140754
000100,1822419882500,2010,0.05359934587375819
115390,1815000000000,2010,0.05338111907965925
064420,1760246297800,2010,0.05177075329608327
020560,1734975996600,2010,0.0510275263222342
088980,1667240485230,2010,0.04903535144710275
005385,1599505853400,2010,0.047043202440196906
002790,1595819600000,2010,0.04693478572851471
030000,1535800353750,2010,0.04516955458187964
000080,1469979498900,2010,0.04323369183219765
000670,1442317320000,2010,0.042420117140261705
001120,1437996000000,2010,0.04229302243089459
003240,1431832400000,2010,0.04211174426805195
011790,1416008963300,2010,0.04164635982797914
011810,1405850353700,2010,0.04134758409864505
004800,1931460025000,2011,0.058524231012528606
071840,1886256188800,2011,0.05715453155295978
001120,1860480000000,2011,0.05637349979023729
002350,1784500888000,2011,0.05407129366364931
005300,1732084200000,2011,0.052483041089059455
139130,1729285686600,2011,0.05239824469535037
001430,1703450652500,2011,0.051615429889807114
088980,1680498858870,2011,0.05091997875172104
003690,1640106817350,2011,0.04969607914293461
000120,1628801361600,2011,0.0493535180257223
005440,1626779625300,2011,0.049292258377199354
004000,1620240000000,2011,0.049094104370987095
057050,1584000000000,2011,0.047996013753298004
082640,1575935513500,2011,0.047751655669354014
005385,1571884873200,2011,0.04762891918731584
008770,1536563937150,2011,0.04655867667946536
120110,1491724228000,2011,0.045200010456575665
000100,1483288618000,2011,0.04494440713992323
003450,1470500000000,2011,0.04455690544458631
011790,1464899298350,2011,0.04438720130732525
000080,2101700848500,2012,0.06038828643630043
010120,2058000000000,2012,0.05913262754525946
000670,1937826080000,2012,0.055679663671589004
139130,1923662759900,2012,0.05527270821372817
