,year,회사명,거래소코드,회계년도,시가총액(백만원),PER(최고),PER(최저),PBR(최고),PBR(최저),PCR(최고),PCR(최저),PSR(최고),PSR(최저)
5445,2008,(주)유한양행,000100,2007/12,2116373.38,24.56,14.06,3.04,1.74,27.2,15.58,4.68,2.68
5446,2008,(주)에스원,012750,2007/12,2051955.612,24.59,12.9,5.93,3.11,13.65,7.16,3.45,1.81
5447,2008,에스케이네트웍스(주),001740,2007/12,2041173.1032,17.6,8.02,6.3,2.87,16.94,7.72,0.59,0.27
5449,2008,제일모직(주),001300,2007/12,2010000.0,23.11,11.06,2.24,1.07,14.92,7.14,1.12,0.54
5450,2008,코웨이(주),021240,2007/12,1983612.61345,24.33,14.08,6.59,3.81,9.98,5.78,2.33,1.35
5451,2008,팬오션(주),028670,2007/12,1935063.7524,24.46,7.67,6.3,1.97,22.85,7.16,2.16,0.68
5452,2008,롯데지주(주),004990,2007/12,1854927.0,24.0,14.59,1.59,0.97,15.75,9.58,2.31,1.4
5453,2008,현대글로비스(주),086280,2007/12,1751250.0,38.13,9.86,6.24,1.61,45.1,11.66,1.23,0.32
5454,2008,삼성엔지니어링(주),028050,2007/12,1740000.0,36.14,9.99,12.1,3.34,19.36,5.35,2.98,0.82
5455,2008,동국홀딩스(주),001230,2007/12,1663073.401,18.13,4.9,1.9,0.51,18.73,5.06,1.1,0.3
5457,2008,(주)LG데이콤,015940,2007/12,1657414.3049,19.58,11.6,1.99,1.18,7.91,4.69,1.93,1.14
5459,2008,롯데케미칼(주),011170,2007/12,1647162.0,12.03,4.39,1.96,0.71,15.9,5.8,2.47,0.9
5460,2008,(주)유수홀딩스,000700,2007/12,1599466.1757,34.69,13.47,2.0,0.77,25.73,9.99,0.73,0.28
5461,2008,디엘(주),000210,2007/12,1548600.0,17.42,5.57,2.82,0.9,0.0,0.0,1.62,0.52
5462,2008,(주)농심,004370,2007/12,1487205.969,16.71,10.24,1.73,1.06,10.45,6.4,1.14,0.7
5463,2008,LS일렉트릭(주),010120,2007/12,1476000.0,22.6,7.36,6.56,2.14,16.81,5.47,1.93,0.63
5464,2008,(주)한화,000880,2007/12,1442955.64875,32.94,10.7,5.9,1.92,33.26,10.81,2.06,0.67
5465,2008,(주)현대백화점,069960,2007/12,1439542.7748,16.37,8.84,2.27,1.23,20.22,10.92,3.77,2.04
5466,2008,고려아연(주),010130,2007/12,1379397.0,10.07,3.65,2.7,0.98,11.48,4.16,1.65,0.6
5468,2008,(주)효성,004800,2007/12,1341486.781,16.3,4.91,1.82,0.55,8.58,2.58,0.5,0.15
5472,2008,롯데칠성음료(주),005300,2007/12,1184003.271,34.8,20.54,1.54,0.91,20.79,12.27,2.03,1.2
5473,2008,태광산업(주),003240,2007/12,1143461.8,46.88,19.89,1.31,0.56,16.71,7.09,1.47,0.63
5474,2008,한전케이피에스(주),051600,2007/12,1125000.0,14.75,10.37,2.86,2.01,8.14,5.72,1.38,0.97
5475,2008,씨제이(주),001040,2007/12,1101723.44,117.38,46.21,2.6,1.02,0.0,0.0,2.26,0.89
5476,2008,(주)오리온홀딩스,001800,2007/12,1086702.6375,32.41,19.67,4.79,2.91,0.0,0.0,3.99,2.42
5477,2008,(주)엔씨소프트,036570,2007/12,1076955.9648,40.86,20.45,4.17,2.09,27.65,13.84,8.27,4.14
5479,2008,롯데정밀화학(주),004000,2007/12,992010.0,51.04,14.32,3.02,0.85,21.88,6.14,2.47,0.69
5480,2008,(주)영풍,000670,2007/12,972597.12,8.93,2.39,1.73,0.46,8.59,2.3,1.63,0.44
5481,2008,동아쏘시오홀딩스(주),000640,2007/12,968908.5,0.0,0.0,4.06,2.0,30.77,15.14,2.02,1.0
5482,2008,한미사이언스(주),008930,2007/12,943729.745,30.11,16.07,5.57,2.97,0.0,0.0,3.2,1.71
5483,2008,남해화학(주),025860,2007/12,914090.7112,32.85,4.8,3.29,0.48,21.91,3.2,1.13,0.17
5484,2008,(주)제일기획,030000,2007/12,897321.555,24.31,16.39,3.42,2.3,3778.13,2547.05,2.79,1.88
5485,2008,STX조선해양(주),067250,2007/12,896400.0,36.63,6.22,8.29,1.41,5.47,0.93,2.77,0.47
5487,2008,대한전선(주),001440,2007/12,868361.6814,58.78,12.61,4.36,0.93,0.0,0.0,2.2,0.47
5488,2008,(주)LG파워콤,045820,2007/12,867100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5490,2008,한화솔루션(주),009830,2007/12,841701.066,14.66,5.57,1.64,0.62,7.15,2.72,1.26,0.48
5491,2008,(주)녹십자,006280,2007/12,841671.9518,20.42,9.91,4.16,2.02,25.71,12.48,2.05,0.99
5492,2008,(주)아모레퍼시픽그룹,002790,2007/12,837805.29,34.64,21.64,1.43,0.89,151.89,94.89,32.11,20.06
5493,2008,한온시스템(주),018880,2007/12,774010.0,13.19,7.86,1.87,1.11,13.2,7.87,0.9,0.54
5494,2008,대한해운(주),005880,2007/12,760592.778,9.01,1.27,3.91,0.55,10.14,1.42,1.74,0.24
5498,2008,(주)엘지생명과학,068870,2007/12,659764.202,71.62,34.0,7.97,3.79,28.99,13.76,5.18,2.46
5499,2008,(주)STX,011810,2007/12,655038.9272,64.12,6.91,13.23,1.43,0.0,0.0,4.24,0.46
5500,2008,(주)삼천리,004690,2007/12,636638.925,17.8,8.0,1.55,0.7,0.0,0.0,0.53,0.24
5501,2008,(주)엘에프,093050,2007/12,628660.0,18.06,8.7,2.81,1.35,22.28,10.73,1.61,0.77
5502,2008,금호건설(주),002990,2007/12,627230.6628,121.19,22.45,4.5,0.83,0.0,0.0,2.52,0.47
5503,2008,아시아나항공(주),020560,2007/12,606090.77078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5504,2008,(주)에스비에스,034120,2007/12,604160.4642,34.63,21.21,3.0,1.84,29.64,18.15,2.95,1.81
5505,2008,현대하이스코(주),010520,2007/12,597490.0,66.75,37.86,1.23,0.7,7.47,4.24,0.32,0.18
5506,2008,(주)세아베스틸지주,001430,2007/12,597104.28135,23.94,12.77,1.25,0.67,0.0,0.0,0.82,0.44
5507,2008,(주)현대오토넷,042100,2007/12,582959.64147,64.15,35.56,4.84,2.68,25.42,14.09,2.51,1.39
5509,2008,에스케이씨(주),011790,2007/12,572197.9954,19.23,8.26,2.14,0.92,22.77,9.78,1.78,0.76
5510,2008,(주)엘엑스인터내셔널,001120,2007/12,565896.0,29.94,15.17,2.94,1.49,22.77,11.54,0.27,0.14
5511,2008,에스케이디스커버리(주),006120,2007/12,561720.11665,87.87,26.82,5.8,1.77,0.0,0.0,2.68,0.82
5512,2008,(주)신도리코,029530,2007/12,549361.5805,13.29,7.41,1.46,0.81,19.81,11.04,1.47,0.82
