티커,시가총액,year,weight
007410,36896425080,2000,0.0518593541568981
000320,36853890500,2000,0.05179957015767996
011810,36725047810,2000,0.0516184767678258
002300,36536127700,2000,0.051352942237837935
000080,36383452000,2000,0.05113835062956464
001820,36382500000,2000,0.05113701255670121
004080,36358578000,2000,0.051103389259391195
008490,36301851000,2000,0.05102365726430279
002030,36273388320,2000,0.05098365186542813
008020,35756712000,2000,0.050257443290877446
016710,35750000000,2000,0.05024800931497473
000480,35600000000,2000,0.05003717850666015
007210,35178000000,2000,0.049444041165935135
004550,34843200000,2000,0.04897346680177699
003680,34588026800,2000,0.04861481098833554
001790,34406411100,2000,0.048359543089444755
014680,34253953125,2000,0.04814525750208973
004970,34220000000,2000,0.04809753507016602
000815,34088400000,2000,0.047912566174338034
014440,34075008000,2000,0.0478937431997717
002620,43807500000,2001,0.05235783131258288
009680,43725000000,2001,0.052259228993726786
017040,43663147375,2001,0.05218530399672877
013520,43260000000,2001,0.0517034704692652
001690,42807584400,2001,0.05116275256324497
010770,42495774300,2001,0.0507900834856359
000080,42360733400,2001,0.050628685353752104
014790,42113934720,2001,0.05033371660055669
015110,41976688390,2001,0.050169682583678044
006405,41938953200,2001,0.050124582253538955
004840,41340000000,2001,0.04940872559406896
016580,41128148400,2001,0.04915552487875535
003620,41127359040,2001,0.04915458145176854
011230,41127012000,2001,0.049154166676632347
001460,40849821000,2001,0.04882287364189249
004200,40800000000,2001,0.04876332859792002
003850,40800000000,2001,0.04876332859792002
002390,40542000000,2001,0.048454972255315525
012420,40480000000,2001,0.04838087111872064
003475,40350662500,2001,0.048226289574295804
000400,52562500000,2002,0.05292351613793681
006040,52344800000,2002,0.052704320904391436
027840,52129013100,2002,0.05248705191063153
013890,51566235600,2002,0.05192040907394534
017960,51330000000,2002,0.051682550931943814
024720,51030000000,2002,0.051380490435556064
001060,50989692600,2002,0.0513399061913824
003900,50456111800,2002,0.050802660587012494
005010,50298345590,2002,0.05064381078799311
004660,50019361620,2002,0.050362910666451696
024070,49800192000,2002,0.05014223571908398
001270,49308807930,2002,0.04964747666541321
006650,48790000000,2002,0.049125105395860874
008490,48343440600,2002,0.04867547888242549
005870,48107285100,2002,0.0484377013905765
033530,47729543400,2002,0.048057365239215326
003220,47627160000,2002,0.04795427863712911
010770,47075519400,2002,0.04739884919225032
016090,46870522010,2002,0.04719244381431168
034300,46800000000,2002,0.047121437436488806
006660,54160000000,2003,0.05260723537223971
010460,54060926730,2003,0.052511002528185295
001530,53700000000,2003,0.05216042355039278
000370,53628652770,2003,0.052091121842088355
003050,53010000000,2003,0.05149020581762236
067830,52758426490,2003,0.051245844908205995
014820,52710608800,2003,0.051199398149107275
003070,52374122575,2003,0.05087255896819717
016710,52195000000,2003,0.05069857182891529
006600,52001254500,2003,0.050510381003198664
034300,52000000000,2003,0.05050916246965408
005070,50812727220,2003,0.049355928743869126
004230,50145727500,2003,0.04870805187416347
073470,50100000000,2003,0.048663635379416724
012320,49579200000,2003,0.04815776669068219
017900,49368227610,2003,0.0479528428690837
000180,49320000000,2003,0.04790599794237191
005420,49307147890,2003,0.04789351430175522
001310,49280800000,2003,0.047867921804510175
003580,49003357900,2003,0.047598433956340516
014300,64240000000,2004,0.0538729643145565
001270,63152605740,2004,0.052961053477619494
002995,62520919680,2004,0.05243130876142424
003120,61446000000,2004,0.05152985935977956
000390,61152000000,2004,0.05128330500877583
011020,61053696000,2004,0.051200865284554496
006250,60403200000,2004,0.05065534617193367
081000,59840000000,2004,0.05018303525191564
009760,59372168100,2004,0.0497907019509519
037710,59040000000,2004,0.049512139058708216
000230,59007674400,2004,0.049485030156229286
005070,58811026875,2004,0.04932011756132158
034300,58600000000,2004,0.04914314615244413
004830,58251200000,2004,0.04885063541220569
004970,57960000000,2004,0.048606429197878186
070540,57904000000,2004,0.04855946646435367
008900,57795675280,2004,0.048468623161505846
005010,57493707270,2004,0.04821538667603156
001250,57294974400,2004,0.04804872526859633
001880,57096000000,2004,0.047881861309214166
013570,134553355200,2005,0.05277818470405099
002450,134008742300,2005,0.05256456178706253
025610,132650000000,2005,0.05203159884483032
025860,132145722380,2005,0.05183379733084415
003200,132000000000,2005,0.05177663812678177
002995,131522666400,2005,0.05158940533077455
008400,130557977100,2005,0.051211008597510314
003030,130320000000,2005,0.051117662732440915
011020,130099200000,2005,0.05103105453775612
001500,129800000000,2005,0.05091369415800208
003850,127880000000,2005,0.050160579421612526
016580,127555460250,2005,0.050033279594388996
001250,125267126000,2005,0.04913568675821194
001047,122817354800,2005,0.04817477072097094
029460,122728860000,2005,0.048140058878276236
006405,122151148000,2005,0.04791345293005275
009680,121605000000,2005,0.04769922787429771
072130,121110677400,2005,0.04750533118961521
008490,120739047000,2005,0.04735956018402649
005500,119900000000,2005,0.04703044629849345
007340,130498610000,2006,0.052514533556616526
007540,129987000000,2006,0.05230865427167318
084010,129703051250,2006,0.0521943891759742
025560,128711450000,2006,0.051795354449719964
008900,127342338480,2006,0.051244404115001536
002995,127075040000,2006,0.05113683932946403
083160,126504000000,2006,0.05090704455048385
006840,126000000000,2006,0.05070422763992415
004720,125029560000,2006,0.05031370850761552
003200,124800000000,2006,0.05022133023382964
006570,124700000000,2006,0.05018108878332176
012600,124488804000,2006,0.05009610044950715
000300,123540324215,2006,0.049714418426249164
002630,120360119880,2006,0.0484346580727308
001500,120343849800,2006,0.04842811075654001
016710,119862600000,2006,0.048234448856453754
034310,119595000000,2006,0.048126762734894676
003960,118945947000,2006,0.047865574393129794
079430,118800000000,2006,0.04780684320335706
